detector,category,family,severity,restorer,n,auroc_clean,auroc_degraded,auroc_method,gap_closed,n_pixel_images,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed
padim,carpet,noise,3,divide_lpres_on,16,0.9375,0.453125,0.4375,-0.03225806451612903,16,0.9805406564110744,0.9265593294394951,0.8209755740341008,-1.955931084483774
padim,carpet,noise,3,identity,16,0.9375,0.453125,0.453125,0.0,16,0.9805406564110744,0.9265593294394951,0.9265593294394951,0.0
padim,carpet,noise,3,restormer_deblur,16,0.9375,0.453125,0.4375,-0.03225806451612903,16,0.9805406564110744,0.9265593294394951,0.9200987814364302,-0.1196811632004965
padim,carpet,noise,3,wiener,16,0.9375,0.453125,0.25,-0.41935483870967744,16,0.9805406564110744,0.9265593294394951,0.8300044892579224,-1.788671112742524
padim,carpet,noise,4,divide_lpres_off,16,0.9375,0.375,0.765625,0.6944444444444444,16,0.9805406564110744,0.9166345892099728,0.8759700334738246,-0.6363176067177377
padim,carpet,noise,4,divide_lpres_on,16,0.9375,0.375,0.3671875,-0.013888888888888888,16,0.9805406564110744,0.9166345892099728,0.9036204124246886,-0.2036454026239885
padim,carpet,noise,4,identity,16,0.9375,0.375,0.375,0.0,16,0.9805406564110744,0.9166345892099728,0.9166345892099728,0.0
padim,carpet,noise,4,restormer_deblur,16,0.9375,0.375,0.375,0.0,16,0.9805406564110744,0.9166345892099728,0.9166345892099728,0.0
padim,carpet,noise,4,wiener,16,0.9375,0.375,0.3125,-0.1111111111111111,16,0.9805406564110744,0.9166345892099728,0.905211796274579,-0.1787434814201282
padim,screw,defocus,2,divide_lpres_off,16,0.6640625,0.734375,0.71875,0.2222222222222222,16,0.9434001299263388,0.9215350173939234,0.92709176877294,0.2541377900881346
padim,screw,defocus,2,divide_lpres_on,16,0.6640625,0.734375,0.734375,-0.0,16,0.9434001299263388,0.9215350173939234,0.9139317773226032,-0.3477338641659547
padim,screw,defocus,2,identity,16,0.6640625,0.734375,0.734375,-0.0,16,0.9434001299263388,0.9215350173939234,0.9215350173939234,0.0
padim,screw,defocus,2,restormer_deblur,16,0.6640625,0.734375,0.703125,0.4444444444444444,16,0.9434001299263388,0.9215350173939234,0.9428770549873756,0.9760771897154452
padim,screw,defocus,2,wiener,16,0.6640625,0.734375,0.6875,0.6666666666666666,16,0.9434001299263388,0.9215350173939234,0.8411112082951492,-3.678179519064634
padim,screw,defocus,3,divide_lpres_off,16,0.6640625,0.703125,0.6875,0.4,16,0.9434001299263388,0.9141557481323312,0.9072717230742318,-0.2353964979184453
padim,screw,defocus,3,divide_lpres_on,16,0.6640625,0.703125,0.671875,0.8,16,0.9434001299263388,0.9141557481323312,0.8946924431374136,-0.6655399704467546
padim,screw,defocus,3,identity,16,0.6640625,0.703125,0.703125,-0.0,16,0.9434001299263388,0.9141557481323312,0.9141557481323312,0.0
padim,screw,defocus,3,restormer_deblur,16,0.6640625,0.703125,0.765625,-1.6,16,0.9434001299263388,0.9141557481323312,0.9355944397094728,0.7330875286799377
padim,screw,defocus,3,wiener,16,0.6640625,0.703125,0.75,-1.2,16,0.9434001299263388,0.9141557481323312,0.8013698004274792,-3.856670607684445
padim,screw,defocus,4,divide_lpres_off,16,0.6640625,0.6875,0.703125,-0.6666666666666666,16,0.9434001299263388,0.9081819380321806,0.8982813565291137,-0.2811212322546622
padim,screw,defocus,4,divide_lpres_on,16,0.6640625,0.6875,0.78125,-4.0,16,0.9434001299263388,0.9081819380321806,0.901490774349338,-0.1899916867666476
