restorer,detector,category,family,severity,n_pixel_images,pix_auroc_clean,pix_auroc_degraded,pix_auroc_method,pix_gap_closed
wiener,padim,bottle,mixed,2,16,0.9865191025913643,0.9274200260512324,0.9205121902454138,-0.1168856809653839
restormer_deblur,padim,bottle,mixed,2,16,0.9865191025913643,0.9274200260512324,0.9274200260512324,0.0
divide_lpres_on,padim,bottle,mixed,2,16,0.9865191025913643,0.9274200260512324,0.929763178488494,0.03964786887440501
divide_lpres_off,padim,bottle,mixed,2,16,0.9865191025913643,0.9274200260512324,0.7862733848447373,-2.388305358894193
identity,padim,bottle,mixed,3,16,0.9865191025913643,0.8628614614236786,0.8628614614236786,0.0
wiener,padim,bottle,mixed,3,16,0.9865191025913643,0.8628614614236786,0.8630769990144336,0.0017430187792658034
restormer_deblur,padim,bottle,mixed,3,16,0.9865191025913643,0.8628614614236786,0.8628614614236786,0.0
divide_lpres_on,padim,bottle,mixed,3,16,0.9865191025913643,0.8628614614236786,0.8816028261975368,0.15155848516020162
divide_lpres_off,padim,bottle,mixed,3,16,0.9865191025913643,0.8628614614236786,0.7229543836213888,-1.131406652117592
identity,padim,bottle,mixed,4,16,0.9865191025913643,0.7665547413222394,0.7665547413222394,0.0
wiener,padim,bottle,mixed,4,16,0.9865191025913643,0.7665547413222394,0.7485143288293349,-0.08201516095069708
restormer_deblur,padim,bottle,mixed,4,16,0.9865191025913643,0.7665547413222394,0.7650435818737322,-0.0068700194876492844
divide_lpres_on,padim,bottle,mixed,4,16,0.9865191025913643,0.7665547413222394,0.7665762764506073,9.790280681669501e-05
divide_lpres_off,padim,bottle,mixed,4,16,0.9865191025913643,0.7665547413222394,0.6457047729524109,-0.5494070388155717
identity,patchcore,bottle,defocus,2,16,0.9682322615134493,0.9589011563257087,0.9589011563257087,0.0
wiener,patchcore,bottle,defocus,2,16,0.9682322615134493,0.9589011563257087,0.9638132910259106,0.5264258200256461
restormer_deblur,patchcore,bottle,defocus,2,16,0.9682322615134493,0.9589011563257087,0.9545702831801546,-0.46413292513775595
divide_lpres_on,patchcore,bottle,defocus,2,16,0.9682322615134493,0.9589011563257087,0.9666589079320667,0.8313861488294262
divide_lpres_off,patchcore,bottle,defocus,2,16,0.9682322615134493,0.9589011563257087,0.9476165204443343,-1.2093568397664605
identity,patchcore,bottle,defocus,3,16,0.9682322615134493,0.9376425785635332,0.9376425785635332,0.0
wiener,patchcore,bottle,defocus,3,16,0.9682322615134493,0.9376425785635332,0.9569499043969208,0.6311711652912244
restormer_deblur,patchcore,bottle,defocus,3,16,0.9682322615134493,0.9376425785635332,0.9487570941963851,0.36334196895892945
divide_lpres_on,patchcore,bottle,defocus,3,16,0.9682322615134493,0.9376425785635332,0.9592639008491257,0.7068174691771957
divide_lpres_off,patchcore,bottle,defocus,3,16,0.9682322615134493,0.9376425785635332,0.913706281758898,-0.7824957468119417
identity,patchcore,bottle,defocus,4,16,0.9682322615134493,0.8743290464211305,0.8743290464211305,0.0
wiener,patchcore,bottle,defocus,4,16,0.9682322615134493,0.8743290464211305,0.93380615821431,0.6333873843904698
restormer_deblur,patchcore,bottle,defocus,4,16,0.9682322615134493,0.8743290464211305,0.9406332601806234,0.7060909862810069
divide_lpres_on,patchcore,bottle,defocus,4,16,0.9682322615134493,0.8743290464211305,0.8904200546411969,0.1713573726335873
divide_lpres_off,patchcore,bottle,defocus,4,16,0.9682322615134493,0.8743290464211305,0.7507700555907769,-1.3158121445456303
identity,patchcore,bottle,motion,2,16,0.9682322615134493,0.9537228043785932,0.9537228043785932,0.0
wiener,patchcore,bottle,motion,2,16,0.9682322615134493,0.9537228043785932,0.9519163702593025,-0.1245004621813944
restormer_deblur,patchcore,bottle,motion,2,16,0.9682322615134493,0.9537228043785932,0.9597757585012122,0.4171730249009769
divide_lpres_on,patchcore,bottle,motion,2,16,0.9682322615134493,0.9537228043785932,0.9350235004438677,-1.288766613452696
divide_lpres_off,patchcore,bottle,motion,2,16,0.9682322615134493,0.9537228043785932,0.8449540047617338,-7.496407247075023
identity,patchcore,bottle,motion,3,16,0.9682322615134493,0.9010327398368063,0.9010327398368063,0.0
wiener,patchcore,bottle,motion,3,16,0.9682322615134493,0.9010327398368063,0.9271740024885022,0.3890096536324308
restormer_deblur,patchcore,bottle,motion,3,16,0.9682322615134493,0.9010327398368063,0.9569040577055435,0.8314243386669343
divide_lpres_on,patchcore,bottle,motion,3,16,0.9682322615134493,0.9010327398368063,0.8751886861852674,-0.38458686917293583
divide_lpres_off,patchcore,bottle,motion,3,16,0.9682322615134493,0.9010327398368063,0.8012415681206159,-1.484998244427617
identity,patchcore,bottle,motion,4,16,0.9682322615134493,0.8282563698917794,0.8282563698917794,0.0
wiener,patchcore,bottle,motion,4,16,0.9682322615134493,0.8282563698917794,0.8166397323751232,-0.08299027341118084
restormer_deblur,patchcore,bottle,motion,4,16,0.9682322615134493,0.8282563698917794,0.8552374043889204,0.19275486788872132
divide_lpres_on,patchcore,bottle,motion,4,16,0.9682322615134493,0.8282563698917794,0.8114385429174061,-0.12014802534588527
divide_lpres_off,patchcore,bottle,motion,4,16,0.9682322615134493,0.8282563698917794,0.6979542308719414,-0.9308898661779677
identity,patchcore,bottle,noise,2,16,0.9682322615134493,0.8568738399921948,0.8568738399921948,0.0
wiener,patchcore,bottle,noise,2,16,0.9682322615134493,0.8568738399921948,0.8618828088529382,0.044980602206070086
restormer_deblur,patchcore,bottle,noise,2,16,0.9682322615134493,0.8568738399921948,0.8568738399921948,0.0
divide_lpres_on,patchcore,bottle,noise,2,16,0.9682322615134493,0.8568738399921948,0.8863548799406379,0.26474010268559856
divide_lpres_off,patchcore,bottle,noise,2,16,0.9682322615134493,0.8568738399921948,0.6391446114455437,-1.955211160254225
identity,patchcore,bottle,noise,3,16,0.9682322615134493,0.7189541717545036,0.7189541717545036,0.0
