run_name : train_pcim_cpu
device   : cpu
smoke    : False
[train_pcim_cpu] loss scale factors (calibrated at step 1): {'rec': 0.2663, 'deg': 0.1527, 'freq': 0.0028, 'pres': 0.5373}
[train_pcim_cpu] step 10600/15000  total=0.3411  rel_drr=0.926
[train_pcim_cpu] step 10650/15000  total=0.3125  rel_drr=0.926
[train_pcim_cpu] step 10700/15000  total=0.2989  rel_drr=0.926
[train_pcim_cpu] step 10750/15000  total=0.2542  rel_drr=0.926
[train_pcim_cpu] step 10800/15000  total=0.2243  rel_drr=0.926
[train_pcim_cpu] step 10850/15000  total=0.3417  rel_drr=0.926
[train_pcim_cpu] step 10900/15000  total=0.1199  rel_drr=0.879
[train_pcim_cpu] step 10950/15000  total=0.1990  rel_drr=0.879
[train_pcim_cpu] step 11000/15000  total=0.1572  rel_drr=0.879
[train_pcim_cpu] step 11050/15000  total=0.1962  rel_drr=0.879
[train_pcim_cpu] step 11100/15000  total=0.2188  rel_drr=0.879
[train_pcim_cpu] step 11150/15000  total=0.1944  rel_drr=0.879
[train_pcim_cpu] step 11200/15000  total=0.1619  rel_drr=0.879
[train_pcim_cpu] step 11250/15000  total=0.2160  rel_drr=0.912
[train_pcim_cpu] step 11300/15000  total=0.3446  rel_drr=0.912
[train_pcim_cpu] step 11350/15000  total=0.1687  rel_drr=0.912
[train_pcim_cpu] step 11400/15000  total=0.3009  rel_drr=0.912
[train_pcim_cpu] step 11450/15000  total=0.1475  rel_drr=0.912
[train_pcim_cpu] step 11500/15000  total=0.5555  rel_drr=0.912
[train_pcim_cpu] step 11550/15000  total=0.1972  rel_drr=0.912
[train_pcim_cpu] step 11600/15000  total=0.1988  rel_drr=0.912
[train_pcim_cpu] step 11650/15000  total=0.2166  rel_drr=0.937
[train_pcim_cpu] step 11700/15000  total=0.1797  rel_drr=0.937
[train_pcim_cpu] step 11750/15000  total=0.2336  rel_drr=0.937
[train_pcim_cpu] step 11800/15000  total=0.4672  rel_drr=0.937
[train_pcim_cpu] step 11850/15000  total=0.2717  rel_drr=0.937
[train_pcim_cpu] step 11900/15000  total=0.3135  rel_drr=0.937
[train_pcim_cpu] step 11950/15000  total=0.2327  rel_drr=0.937
[train_pcim_cpu] step 12000/15000  total=0.1939  rel_drr=0.939
[train_pcim_cpu] step 12050/15000  total=0.1739  rel_drr=0.939
[train_pcim_cpu] step 12100/15000  total=0.1851  rel_drr=0.939
[train_pcim_cpu] step 12150/15000  total=0.1571  rel_drr=0.939
[train_pcim_cpu] step 12200/15000  total=0.2644  rel_drr=0.939
[train_pcim_cpu] step 12250/15000  total=0.1409  rel_drr=0.939
[train_pcim_cpu] step 12300/15000  total=0.1962  rel_drr=0.939
[train_pcim_cpu] step 12350/15000  total=0.2568  rel_drr=0.939
[train_pcim_cpu] step 12400/15000  total=0.1671  rel_drr=0.933
[train_pcim_cpu] step 12450/15000  total=0.2007  rel_drr=0.933
[train_pcim_cpu] step 12500/15000  total=0.4090  rel_drr=0.933
[train_pcim_cpu] step 12550/15000  total=0.1958  rel_drr=0.933
[train_pcim_cpu] step 12600/15000  total=0.2035  rel_drr=0.933
[train_pcim_cpu] step 12650/15000  total=0.3306  rel_drr=0.933
[train_pcim_cpu] step 12700/15000  total=0.2572  rel_drr=0.933
[train_pcim_cpu] step 12750/15000  total=0.2298  rel_drr=0.926
[train_pcim_cpu] step 12800/15000  total=0.2022  rel_drr=0.926
[train_pcim_cpu] step 12850/15000  total=0.1534  rel_drr=0.926
[train_pcim_cpu] step 12900/15000  total=0.2236  rel_drr=0.926
[train_pcim_cpu] step 12950/15000  total=0.2310  rel_drr=0.926
[train_pcim_cpu] step 13000/15000  total=0.1911  rel_drr=0.926
[train_pcim_cpu] step 13050/15000  total=0.1591  rel_drr=0.926
[train_pcim_cpu] step 13100/15000  total=0.1672  rel_drr=0.926
[train_pcim_cpu] step 13150/15000  total=0.2913  rel_drr=0.898
[train_pcim_cpu] step 13200/15000  total=0.3696  rel_drr=0.898
[train_pcim_cpu] step 13250/15000  total=0.2695  rel_drr=0.898
[train_pcim_cpu] step 13300/15000  total=0.3479  rel_drr=0.898
[train_pcim_cpu] step 13350/15000  total=0.2031  rel_drr=0.898
[train_pcim_cpu] step 13400/15000  total=0.1877  rel_drr=0.898
[train_pcim_cpu] step 13450/15000  total=0.1842  rel_drr=0.898
[train_pcim_cpu] step 13500/15000  total=0.2953  rel_drr=0.923
[train_pcim_cpu] step 13550/15000  total=0.2616  rel_drr=0.923
[train_pcim_cpu] step 13600/15000  total=0.2546  rel_drr=0.923
[train_pcim_cpu] step 13650/15000  total=0.1774  rel_drr=0.923
[train_pcim_cpu] step 13700/15000  total=0.1594  rel_drr=0.923
[train_pcim_cpu] step 13750/15000  total=0.2281  rel_drr=0.923
[train_pcim_cpu] step 13800/15000  total=0.1615  rel_drr=0.923
[train_pcim_cpu] step 13850/15000  total=0.3301  rel_drr=0.923
